Rank,Model,PR-AUC,ROC-AUC,F1-Score,Precision,Recall,Accuracy,Brier Score,FPR,FNR,Train Time (s),Latency (ms)
1,XGBoost,0.1205,0.6835,0.2474,0.3636,0.1875,0.9854,0.0139,0.0043,0.8125,0.503,10.44
2,HistGradientBoosting,0.1089,0.6789,0.0833,0.375,0.0469,0.9868,0.0121,0.001,0.9531,0.553,12.49
3,Random Forest,0.1072,0.6531,0.2449,0.3529,0.1875,0.9852,0.0412,0.0045,0.8125,0.451,36.03
4,Logistic Regression,0.1047,0.7241,0.0469,0.0243,0.6719,0.6506,0.2081,0.3497,0.3281,0.053,1.32
5,Decision Tree,0.0995,0.6094,0.0501,0.0264,0.4844,0.765,0.1533,0.2314,0.5156,0.08,1.85
6,Gradient Boosting,0.0675,0.7047,0.0816,0.1176,0.0625,0.982,0.0161,0.0061,0.9375,9.062,16.05
